Type,Scenario,Method,Load Balance_mean,Load Balance_std,Load Balance_get_ci_95,Load_Balance_Imp
Real,BS1_right_BS2_loiter_BS3_left,results_mopo,-0.1878,0.0244,0.0605,-17.9511
Real,BS1_right_BS2_loiter_BS3_left,results_ppo,-0.0923,0.0032,0.0079,42.0565
Real,BS1_right_BS2_loiter_BS3_left,results_random,-0.1816,0.0028,0.0068,-14.0117
Real,BS1_right_BS2_loiter_BS3_left,results_sac+0,-0.132,0.006,0.0148,17.099
Real,BS1_right_BS2_loiter_BS3_left,results_sac+100,-0.1064,0.0036,0.0089,33.1638
Real,BS1_right_BS2_loiter_BS3_left,results_sac+20,-0.1313,0.0066,0.0164,17.5507
Real,BS1_right_BS2_loiter_BS3_left,results_sac+20+cf,-0.1285,0.0033,0.0082,19.3421
Real,BS1_right_BS2_loiter_BS3_left,results_sac_online,-0.0776,0.0036,0.0091,51.2545
Real,BS1_right_BS2_loiter_BS3_left,results_static,-0.1593,0.0,0.0,0.0
Real,BS1_right_BS2_right_BS3_left,results_mopo,-0.2037,0.0187,0.0464,-48.0968
Real,BS1_right_BS2_right_BS3_left,results_ppo,-0.086,0.0034,0.0084,37.4547
Real,BS1_right_BS2_right_BS3_left,results_random,-0.1755,0.0013,0.0032,-27.6305
Real,BS1_right_BS2_right_BS3_left,results_sac+0,-0.16,0.0106,0.0264,-16.3547
Real,BS1_right_BS2_right_BS3_left,results_sac+100,-0.0976,0.0007,0.0018,28.9999
Real,BS1_right_BS2_right_BS3_left,results_sac+20,-0.1464,0.0019,0.0046,-6.4494
Real,BS1_right_BS2_right_BS3_left,results_sac+20+cf,-0.1267,0.0053,0.0131,7.8842
Real,BS1_right_BS2_right_BS3_left,results_sac_online,-0.0772,0.0014,0.0034,43.8445
Real,BS1_right_BS2_right_BS3_left,results_static,-0.1375,0.0,0.0,0.0
Real,BS1_right_BS3_left,results_mopo,-0.2278,0.0032,0.0078,-12.5846
Real,BS1_right_BS3_left,results_ppo,-0.1118,0.0056,0.014,44.7329
Real,BS1_right_BS3_left,results_random,-0.2031,0.0015,0.0036,-0.4095
Real,BS1_right_BS3_left,results_sac+0,-0.245,0.0098,0.0243,-21.099
Real,BS1_right_BS3_left,results_sac+100,-0.1544,0.0053,0.0132,23.7073
Real,BS1_right_BS3_left,results_sac+20,-0.2059,0.0006,0.0016,-1.752
Real,BS1_right_BS3_left,results_sac+20+cf,-0.1828,0.0003,0.0007,9.6373
Real,BS1_right_BS3_left,results_sac_online,-0.1198,0.0031,0.0077,40.7846
Real,BS1_right_BS3_left,results_static,-0.2023,0.0,0.0,0.0
Synthetic,BS1_right_BS2_loiter_BS3_left,results_mopo,-0.1993,0.0144,0.0357,-3.481
Synthetic,BS1_right_BS2_loiter_BS3_left,results_ppo,-0.1085,0.0012,0.003,43.6722
Synthetic,BS1_right_BS2_loiter_BS3_left,results_random,-0.2052,0.0031,0.0077,-6.5632
Synthetic,BS1_right_BS2_loiter_BS3_left,results_sac+0,-0.1767,0.0011,0.0028,8.2239
Synthetic,BS1_right_BS2_loiter_BS3_left,results_sac+100,-0.1573,0.0037,0.0091,18.3162
Synthetic,BS1_right_BS2_loiter_BS3_left,results_sac+20,-0.1656,0.0041,0.0101,14.0092
Synthetic,BS1_right_BS2_loiter_BS3_left,results_sac+20+cf,-0.1559,0.0085,0.0211,19.0282
Synthetic,BS1_right_BS2_loiter_BS3_left,results_sac_online,-0.1457,0.0036,0.009,24.3293
Synthetic,BS1_right_BS2_loiter_BS3_left,results_static,-0.1926,0.0,0.0,0.0
Synthetic,BS1_right_BS2_right_BS3_left,results_mopo,-0.1275,0.0134,0.0333,-1.4035
Synthetic,BS1_right_BS2_right_BS3_left,results_ppo,-0.0561,0.0006,0.0016,55.3594
Synthetic,BS1_right_BS2_right_BS3_left,results_random,-0.1404,0.0012,0.0029,-11.6366
Synthetic,BS1_right_BS2_right_BS3_left,results_sac+0,-0.109,0.0033,0.0083,13.3434
Synthetic,BS1_right_BS2_right_BS3_left,results_sac+100,-0.0993,0.0033,0.0082,21.0694
Synthetic,BS1_right_BS2_right_BS3_left,results_sac+20,-0.1128,0.0028,0.0068,10.326
Synthetic,BS1_right_BS2_right_BS3_left,results_sac+20+cf,-0.1011,0.0033,0.0082,19.6427
Synthetic,BS1_right_BS2_right_BS3_left,results_sac_online,-0.0803,0.0003,0.0008,36.1599
Synthetic,BS1_right_BS2_right_BS3_left,results_static,-0.1258,0.0,0.0,0.0
Synthetic,BS1_right_BS3_left,results_mopo,-0.2483,0.018,0.0448,-2.0071
Synthetic,BS1_right_BS3_left,results_ppo,-0.1018,0.0021,0.0053,58.2047
Synthetic,BS1_right_BS3_left,results_random,-0.2409,0.0022,0.0055,1.0495
Synthetic,BS1_right_BS3_left,results_sac+0,-0.224,0.0023,0.0058,7.9761
Synthetic,BS1_right_BS3_left,results_sac+100,-0.163,0.003,0.0074,33.0333
Synthetic,BS1_right_BS3_left,results_sac+20,-0.2028,0.0036,0.009,16.6891
Synthetic,BS1_right_BS3_left,results_sac+20+cf,-0.2016,0.0044,0.011,17.1848
Synthetic,BS1_right_BS3_left,results_sac_online,-0.1463,0.0035,0.0087,39.927
Synthetic,BS1_right_BS3_left,results_static,-0.2435,0.0,0.0,0.0
