episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-25.970193641566603,8.965477523803711,-0.3064479161053896,51245049.19725172,0.92826,-0.2577450980014774
1,200,-25.714778911605947,3.3978796,0.5738798,51170341.0978789,0.9289799999999997,-0.25466897006567174
2,300,-25.566147713457205,1.904729,1.3204482,51432926.266618304,0.93358,-0.25335880932095195
3,400,-25.577330997958125,1.421073,1.3858447,51592511.76586917,0.9366333333333332,-0.2536251985134271
4,500,-25.3154489110432,1.1770217,1.5535614,51721859.40217248,0.9379933333333332,-0.25098350851474355
5,600,-24.858096341908194,1.0095947,1.721556,51518906.90226231,0.9358666666666667,-0.24635884617267306
6,700,-24.439734920186527,0.94116735,1.8030963,51827904.35763029,0.9445933333333332,-0.24236738530634927
7,800,-24.417302914488115,0.8793919,1.9345613,51817841.53933448,0.94394,-0.24209653109434984
8,900,-24.107623983339764,0.89427066,2.0937757,51750401.466984555,0.9439599999999998,-0.23918716500665424
9,1000,-23.859122090421458,0.9113884,2.2391589,51721586.09788187,0.9440533333333333,-0.23636800642461236
10,1100,-23.463436819300398,0.9141811,2.340262,51932681.933801614,0.9505666666666667,-0.23270570432456444
11,1200,-23.652104350460384,0.8845567,2.4676619,52041617.35118065,0.9500999999999997,-0.23428627791717552
12,1300,-22.97380217951695,0.8590022,2.6165903,52115357.483007275,0.9540666666666665,-0.2275651525097754
13,1400,-23.308255778328924,0.81420434,2.7367284,52197242.76433825,0.9529666666666665,-0.23098972059294884
14,1500,-22.51126202424592,0.84127927,2.8804004,51914596.801787615,0.9526933333333333,-0.22289600819355568
15,1600,-22.6796890471761,0.85781294,3.0185752,51868081.965469755,0.9539533333333332,-0.22468360852889846
16,1700,-22.59012270578677,0.8578924,3.185823,51967630.46269938,0.9544999999999998,-0.2238969351299121
17,1800,-22.36835380765473,0.8863936,3.3144946,51984014.03815051,0.9553266666666665,-0.22187354000934864
18,1900,-21.7812124905222,0.85943395,3.4382873,52093723.979394905,0.95932,-0.21580952067988912
19,2000,-22.05730657443422,0.86119974,3.564388,51949182.12285959,0.95314,-0.2185998261271007
20,2100,-21.58361704867754,0.8517236,3.700184,51992945.43299091,0.9558199999999999,-0.21382439341169446
21,2200,-21.388241445818622,0.8126872,3.8460128,51925906.34353842,0.9585599999999999,-0.21172296022839115
22,2300,-21.369552233270948,0.82885355,3.9877017,51865932.6153518,0.955073333333333,-0.21171738449790922
23,2400,-21.39237893467083,0.8302346,4.142124,51990199.22646947,0.957,-0.21190972210977257
24,2500,-21.29281926436475,0.7947967,4.262924,52013741.85574851,0.9580933333333331,-0.21089989886736343
25,2600,-20.673407573568134,0.8277166,4.387831,52016390.045899145,0.9603399999999999,-0.2047927911805913
26,2700,-20.37796659463837,0.846452,4.54982,51867302.413779214,0.9582733333333332,-0.2018773562858197
27,2800,-20.51135193568162,0.84331596,4.6664796,51880830.19223753,0.9603599999999999,-0.20299560229118535
28,2900,-20.445584554898947,0.8362154,4.8014793,51912689.53499686,0.9596866666666664,-0.20282039709176483
29,3000,-20.411762714008272,0.85310847,4.93493,51803376.38900935,0.9575600000000001,-0.2021764054073523
30,3100,-20.117876970988284,0.82164764,5.036396,51979966.86457487,0.9622933333333334,-0.1993536313070202
31,3200,-20.203503124046474,0.84174836,5.2154255,51981251.22090241,0.9602599999999999,-0.20030195387469865
32,3300,-19.861145073938175,0.8124708,5.350457,51868969.71639327,0.9609199999999997,-0.19691483783714397
33,3400,-20.19879528149359,0.8324493,5.512165,51883484.083511114,0.9595733333333332,-0.20001626201332906
34,3500,-19.875948919234006,0.8722366,5.656049,51890710.488630906,0.9606399999999998,-0.19696061886229962
