episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-26.91925341461849,10.201029052734375,-0.3056094840914011,51232142.06521837,0.9285333333333335,-0.2672122258465308
1,200,-26.733726085492886,3.4939883,0.5770465,51271722.41723681,0.9302599999999998,-0.2650481283641065
2,300,-26.816723083134104,1.6291223,1.4669915,51468167.3543012,0.9353333333333332,-0.26602793881780495
3,400,-26.720632455750014,1.2921215,1.5480447,51670315.56724774,0.9362999999999999,-0.26501619213795363
4,500,-26.54465866921167,1.1181563,1.6852808,51769127.797869734,0.9362533333333334,-0.26324672935924387
5,600,-26.38628713278565,1.0249099,1.8513662,51506576.49086046,0.9330199999999997,-0.2618666267383394
6,700,-26.059716448761645,0.98429024,1.9893734,51745361.12003966,0.9393466666666666,-0.25863201180038525
7,800,-26.18466838859391,0.92742014,2.097487,51843531.475481704,0.9415933333333334,-0.25984620704344674
8,900,-26.019116239621873,0.8988963,2.2883284,51752641.19389469,0.9386733333333332,-0.2582941590650233
9,1000,-26.103925729476103,0.8998795,2.4669802,51679496.539035685,0.9373266666666666,-0.258843161137877
10,1100,-25.76027121982404,0.8889075,2.6216986,51926951.098156616,0.9448066666666667,-0.25565690052438084
11,1200,-25.916416794718362,0.87952906,2.7513337,51843357.93612303,0.9409200000000001,-0.2570121302174252
12,1300,-25.71514836689971,0.8507477,2.9497683,52107323.63044455,0.9457266666666666,-0.2551016400850832
13,1400,-25.740724242606966,0.81859934,3.0638275,52119210.009040065,0.9475133333333332,-0.25527956220715503
14,1500,-25.16453062130436,0.81230456,3.2462955,52062801.41513983,0.94674,-0.2495085160609308
15,1600,-25.350944313832496,0.8385098,3.4085433,51889951.443908945,0.9454999999999999,-0.25143925200034895
16,1700,-25.332515773507886,0.80334276,3.5869617,52067584.64919693,0.9485533333333332,-0.2513642369132373
17,1800,-24.823775481376117,0.8179314,3.761039,52040045.673321515,0.9480666666666665,-0.2464145611637624
18,1900,-24.51116782031807,0.8127389,3.8833778,52127055.520666204,0.9530599999999999,-0.24313977260374467
19,2000,-24.48823866497033,0.83675706,4.0383096,52070023.40546933,0.949093333333333,-0.2429683371538863
20,2100,-24.53399532355225,0.8565476,4.195646,52122524.756577685,0.9500333333333333,-0.24330132815535507
21,2200,-24.038703235450235,0.8268516,4.374405,52095639.97929069,0.9518466666666665,-0.23835688262094104
22,2300,-24.03704811757519,0.82243884,4.5530987,52034214.75624956,0.9494866666666664,-0.23845337150216275
23,2400,-24.119109766921333,0.85431015,4.726903,52053384.065360054,0.9510333333333331,-0.23914858347524034
24,2500,-23.76004182372532,0.82083493,4.8794823,52110270.63690371,0.9533133333333332,-0.23562579541557635
25,2600,-23.326300662515596,0.8121851,4.9818006,52102994.946063265,0.9541866666666666,-0.23135832539023118
26,2700,-23.21522052518971,0.8132897,5.213956,52022178.99245595,0.9524866666666667,-0.23018901971140823
27,2800,-22.961503076906798,0.83079726,5.338257,51892565.75595168,0.9541799999999998,-0.22752291465556568
28,2900,-22.93802535614309,0.7942826,5.493013,52011660.59700131,0.9543533333333332,-0.22763640653808923
29,3000,-23.053772433317242,0.8076412,5.648036,51935264.555771105,0.9526,-0.22870865614556213
30,3100,-22.58625186908584,0.8135532,5.7744374,52075475.92241757,0.9582933333333332,-0.2240761180383354
31,3200,-22.481485151110668,0.8275433,5.9709926,51977082.3860686,0.9561066666666668,-0.22315445829352243
32,3300,-21.908738440568563,0.81582946,6.103429,52003328.36450657,0.9572133333333335,-0.21737108023486248
33,3400,-22.06863331564047,0.8561849,6.213586,51914330.84232529,0.9553133333333332,-0.21888260747824126
34,3500,-21.878596355095492,0.87873685,6.3810925,51874997.5828596,0.9562799999999999,-0.21694208402703982
35,3600,-21.604457231785585,0.90687513,6.4710374,52079772.75387065,0.9582133333333334,-0.214234593354637
36,3700,-21.3562176864616,0.80988157,6.6526227,51817589.14080869,0.9567599999999998,-0.2116748522196592
37,3800,-21.14464572277906,0.84612256,6.8004746,52053614.85885355,0.9606733333333332,-0.209726584521947
38,3900,-21.196871260498526,0.8746032,6.933243,51895762.75774953,0.9584399999999997,-0.21011920262647002
39,4000,-21.051179247544507,0.8922091,7.0599446,51920487.90471814,0.9589933333333333,-0.20866311634203552
40,4100,-21.294450911879384,0.88826746,7.1680446,51843803.26282394,0.9563133333333335,-0.21121148625327105
41,4200,-20.943454465787376,0.89668816,7.382749,51836297.27872573,0.9572733333333333,-0.20763283103957164
42,4300,-20.72144168577959,0.9288339,7.468375,51876944.614588626,0.9590466666666667,-0.20546960922075216
43,4400,-20.44535105045657,0.91028804,7.6490235,51962746.722829215,0.9611,-0.2026131434547274
44,4500,-20.38755873487621,1.0303125,7.7960024,51751743.35378067,0.9565266666666665,-0.20225401003533744
45,4600,-20.371082610895545,0.88401705,7.893066,52038067.99348006,0.9636866666666666,-0.2019149976097297
46,4700,-20.084557080294772,0.91596085,7.973932,51862180.36213391,0.9620666666666665,-0.1990187194881016
47,4800,-20.06174832465577,0.838069,8.201153,51970030.11984439,0.9614333333333335,-0.19892086884025606
48,4900,-19.877424443455254,0.8436291,8.291272,51803620.36062539,0.9602266666666667,-0.19712908558815437
49,5000,-20.19294024512501,0.81130606,8.471484,51921833.33341334,0.9610799999999998,-0.20020527811893654
50,5100,-20.07519311860531,1.0319463,8.649454,51899973.03580616,0.9609866666666667,-0.19910428980901868
51,5200,-19.884192534037506,1.0019995,8.702588,51860348.862145536,0.9623666666666665,-0.19703574807360402
52,5300,-19.80913303772563,1.012235,8.779223,51962727.60539779,0.9650733333333332,-0.19623328085114283
53,5400,-19.6891012273485,0.9739151,9.101587,51883108.7562821,0.9623933333333332,-0.19534487301218828
54,5500,-20.049792432582002,0.95321965,9.137193,51847764.2232867,0.9615133333333333,-0.19889954009298513
55,5600,-19.498598610716478,1.006857,9.399511,51807090.39447141,0.9630399999999999,-0.193255292207002
56,5700,-19.375644484773606,0.9246985,9.443538,51870007.819018394,0.9648733333333331,-0.19201903285916658
57,5800,-19.397022051461196,1.0410725,9.554642,51947649.47034417,0.9632733333333332,-0.1921857485780793
58,5900,-19.529888828296404,0.94728243,9.626011,51955550.31714709,0.9653999999999999,-0.1938152508092842
59,6000,-19.477082052089926,1.0515718,9.82571,51808270.774370275,0.9613599999999999,-0.1931787420956485
60,6100,-19.349083069932988,1.0308328,9.737631,51919124.3355562,0.9653066666666668,-0.1918805995314758
61,6200,-19.460572886266952,1.1213632,9.9388895,51920495.08988926,0.9642266666666666,-0.1928796717963303
62,6300,-19.56310953081883,1.0742791,10.156386,51879497.077838145,0.96294,-0.19393836740254147
63,6400,-19.179506166494722,1.0988042,10.257842,51748373.60078181,0.9624666666666666,-0.1900540168279667
64,6500,-19.185777100204586,1.1354283,10.265637,51945659.43082143,0.9636266666666666,-0.19012221684320393
65,6600,-19.425006832574354,1.093341,10.502369,51829977.11609406,0.9610599999999998,-0.1925714887105131
66,6700,-19.299204903062492,1.0579078,10.753781,51792998.73253663,0.9621999999999998,-0.19119119244379457
67,6800,-19.258287883520186,1.1661471,10.907436,51884936.87837588,0.9648533333333332,-0.1910017552869177
68,6900,-19.288721094107164,1.0882796,10.858068,51841852.84547408,0.9635399999999998,-0.1914885209610357
69,7000,-19.191959299565053,1.0574901,11.02492,51791639.86277903,0.9629999999999999,-0.19034224811876246
70,7100,-19.02346057046216,1.1469669,11.308662,51909431.04648886,0.9681399999999999,-0.18866575366988417
71,7200,-19.250214045173532,1.0891382,11.365138,51851312.18528242,0.9632,-0.19078222695655914
72,7300,-19.084583501036985,1.0468827,11.495104,51833619.09546829,0.9652466666666667,-0.18926368377719835
73,7400,-19.02685483820244,1.0982625,11.523886,51853843.37283082,0.9634066666666663,-0.1887505838894654
74,7500,-19.24479028597297,1.0984313,11.52539,51833442.91754231,0.9648066666666664,-0.1904894544474886
75,7600,-19.142953942377936,1.2261,11.888655,51969288.862027034,0.9651733333333333,-0.18975350994945708
76,7700,-18.96674023430058,1.1751491,11.8064,52051242.911337666,0.9681333333333332,-0.18800577287522158
77,7800,-19.07699991331701,1.1063325,12.046378,51891240.285495296,0.9636733333333333,-0.18922470854028153
78,7900,-19.06964318581559,1.1614116,12.16472,51869155.7051889,0.9652466666666667,-0.1894068267675951
79,8000,-19.131110598042408,1.0776494,12.307751,51822044.7243018,0.9624666666666666,-0.1896758589559785
80,8100,-18.886425803650354,0.99037343,12.457095,51961053.239863634,0.9678466666666665,-0.18712426960317904
81,8200,-19.119722557196713,1.1402982,12.502588,51813792.163410194,0.9643533333333333,-0.1894819408428733
82,8300,-18.690505999488934,1.1223332,12.558249,51795988.8746022,0.9665333333333332,-0.1852302489815955
83,8400,-19.08761333408567,1.1739078,12.842541,51829999.45705115,0.9638000000000001,-0.18915285206686408
84,8500,-18.92466494719323,1.1097074,12.938046,51966205.236775786,0.9678000000000002,-0.18759952809928304
85,8600,-18.951746646818425,1.1609731,12.864022,51875110.84971598,0.9633866666666667,-0.18783563581209567
86,8700,-18.739338306234576,1.0648077,13.053941,51885542.111454144,0.9657333333333333,-0.18565877415480928
87,8800,-19.04075771874194,1.0415354,13.187876,51901980.68835159,0.9668066666666667,-0.18872613216089804
88,8900,-18.736960940256363,1.1200062,13.433521,51991205.02265373,0.96662,-0.18565787670069936
89,9000,-18.95679851665832,1.1060932,13.561289,51880019.62833837,0.9666066666666666,-0.18791035876916976
90,9100,-18.650158422150902,1.14562,13.499808,52040726.70422416,0.9677533333333331,-0.18472709623547356
91,9200,-18.753727470438506,1.0475404,13.7142515,51830243.4365624,0.9651733333333332,-0.1862619834825691
92,9300,-18.9556818485054,1.2339038,13.868256,52014312.758124344,0.96678,-0.18779315026418822
93,9400,-18.799736999549904,1.1118778,13.863303,51958155.41711611,0.96582,-0.18658464143365525
94,9500,-18.782913413395153,1.1470726,13.899357,51981497.14963946,0.96576,-0.1863793490740283
95,9600,-18.564248095400636,1.1772298,14.078322,51889384.56556811,0.9664733333333332,-0.18399911931765545
96,9700,-18.909484941962692,0.94449353,14.375801,51862242.831508346,0.9661000000000001,-0.18754893856616697
97,9800,-18.53752866576569,1.0652312,14.349159,52023374.652792774,0.9687266666666665,-0.18376876189252198
98,9900,-18.74476886824628,0.9367799,14.468342,51879349.38851318,0.9669599999999999,-0.18598542755335956
99,10000,-18.688789754530816,1.1488051,14.710391,51966255.46398748,0.9663800000000001,-0.1851468897980526
100,10100,-18.6077906740701,1.167155,14.800626,52006873.248152584,0.9662466666666667,-0.18448298073173366
101,10200,-18.447302383014506,1.1149573,14.843934,51814509.26547734,0.9654399999999999,-0.18300026889890866
102,10300,-18.872228040677115,1.1753715,14.877732,51882501.369091764,0.9639733333333332,-0.1870835427130296
103,10400,-18.857267890456537,1.1515218,14.924077,51742914.05258734,0.9626800000000001,-0.186927462996635
104,10500,-18.789684120379977,1.2131835,15.182975,52000095.855020985,0.9677933333333334,-0.18627198683917523
105,10600,-18.73693721050336,1.1514891,15.003986,51810562.88300305,0.9664866666666667,-0.18556612147747467
106,10700,-18.821510255175788,1.1482177,15.420904,51791553.27742665,0.9642333333333333,-0.1865828861563871
107,10800,-18.629407488307493,1.036573,15.709407,51849031.57894269,0.9659866666666667,-0.18477852584943222
108,10900,-18.95602916674107,1.0795975,15.471068,51878991.61689032,0.9664400000000001,-0.18796302558341632
109,11000,-18.543912397255145,1.2475269,15.562374,51853038.117803484,0.9676466666666667,-0.1839899416195814
110,11100,-18.739193602076867,1.1919061,15.8276005,51799206.773634285,0.9667599999999997,-0.1858299041699638
111,11200,-18.535984444556966,1.1973919,15.768307,51821074.73359469,0.9665866666666668,-0.18394312796167162
112,11300,-18.63128805179536,1.1851879,15.993792,51814132.02800022,0.9647066666666666,-0.18475643317980753
113,11400,-18.518911850037956,0.96618986,16.05626,51863005.7983834,0.9675866666666667,-0.18370367848556804
114,11500,-18.837428692497692,1.1389532,16.25913,51903557.139176115,0.9652799999999999,-0.18666987578128555
115,11600,-18.427921575553903,1.0636227,16.249178,51881650.55874921,0.9692333333333334,-0.18270923741132286
116,11700,-18.747108404376483,1.076371,16.331598,51936299.154955305,0.9664733333333334,-0.185929377512121
117,11800,-18.560713872037315,1.014177,16.471258,51815666.65278079,0.9658599999999998,-0.18412334255074767
118,11900,-18.7172019630133,1.0926286,16.343294,51722554.28231301,0.9642266666666667,-0.18572021329561342
119,12000,-18.704362680719512,1.1665175,16.627808,51826811.487580664,0.9639733333333332,-0.18550897982421027
120,12100,-18.348291851773677,1.1034874,16.84155,51913140.44163203,0.9686733333333333,-0.18200983580421923
121,12200,-18.771441186663505,1.10655,16.926624,51786919.0737481,0.9644266666666664,-0.18616526870289304
122,12300,-18.850812231917796,1.0123347,17.138453,51753627.853355534,0.9639866666666665,-0.18694236420393864
123,12400,-18.57257835682186,1.0522661,16.846245,52068759.70545018,0.9695066666666668,-0.18424154309605478
124,12500,-18.83004912405384,0.9816199,17.190218,51810894.81120304,0.9649599999999999,-0.18685142810092617
125,12600,-18.514723349890705,1.0325207,17.431868,51872429.501616195,0.9671,-0.1837680929099002
126,12700,-18.803535697373174,1.0772808,17.322308,51804508.282374695,0.9661666666666666,-0.18645335236722674
127,12800,-18.39002327238935,1.0032241,17.422758,51834702.067010835,0.9681533333333334,-0.18240515421434675
128,12900,-18.416511828657764,1.0907117,17.490612,51801854.34655406,0.9663400000000001,-0.18264516939201664
129,13000,-18.512541815280528,1.112067,17.886053,51978234.52140961,0.9675533333333333,-0.18362004150489775
130,13100,-18.736555167875803,1.0987316,17.838774,51866811.1565268,0.96662,-0.18595143635902361
131,13200,-18.557878974540156,1.0564114,17.685932,51839296.97122003,0.9656733333333332,-0.18394711136583672
132,13300,-18.29920414270165,0.98654443,18.157467,51778458.92194772,0.96622,-0.18152088443980807
133,13400,-18.35921743794403,0.93051064,17.904985,51849739.53122788,0.9662200000000001,-0.18218428520129867
134,13500,-18.308043416849912,0.9223541,18.290455,52020854.567244075,0.9694133333333331,-0.1815538039991088
135,13600,-18.398030345798595,1.0958161,18.129555,51852792.072699614,0.9688733333333331,-0.18243670010638866
136,13700,-18.358311930436027,0.93061566,18.310593,51788111.55606001,0.9670466666666667,-0.18210999785673918
137,13800,-18.528017687580153,0.9726064,18.38513,51850027.45915075,0.9651999999999997,-0.18373035970137438
138,13900,-18.61378131561202,1.0555173,18.20936,51877848.00800328,0.9672999999999999,-0.1846764184919253
139,14000,-18.61485985369489,0.9636404,18.72452,51846314.01683678,0.9649466666666666,-0.18449992023708903
140,14100,-18.570599180952275,1.0755638,18.564913,51891997.065646745,0.96744,-0.18420079793957145
141,14200,-18.497774666062018,0.9700536,18.935877,52005930.02082028,0.9676933333333333,-0.18355133684073088
142,14300,-18.68864855680382,0.9374202,18.819826,51960314.1762526,0.9670466666666665,-0.1854402111835121
143,14400,-18.51752151974308,0.94217986,18.930605,52033369.22378314,0.9678333333333334,-0.18360159031206263
144,14500,-18.568377735756393,0.9767338,19.27633,51874246.36461417,0.96778,-0.1842203613600494
145,14600,-18.4316702938139,0.9876617,19.283615,51883619.1082193,0.9667799999999999,-0.18275575244820838
146,14700,-18.348210650623564,1.0659748,19.316526,51930458.68244445,0.9669266666666665,-0.18196214190769286
147,14800,-18.449454428193373,0.91178,19.222763,51891783.35465304,0.9659733333333331,-0.1827935388685743
148,14900,-18.221235116398073,1.0562927,19.377048,51736999.35263153,0.9676733333333333,-0.1805441368993085
149,15000,-18.194017873101636,0.95428133,19.554861,51972685.61745082,0.9701399999999999,-0.1803260802043015
150,15100,-18.277718087129756,0.96532667,19.673164,51797829.46262453,0.96736,-0.1812337512561464
151,15200,-18.206820922384132,0.91749823,19.387318,51831133.90745255,0.9673400000000001,-0.18065222985352863
152,15300,-18.187767069511775,0.92548144,19.545504,51955647.7825653,0.9694,-0.18057883595113594
153,15400,-18.160633097850486,0.94901985,19.900608,51849092.555585,0.9702866666666666,-0.18037872092709825
154,15500,-18.330593978720838,0.9023878,20.130917,51805198.939325824,0.9667466666666663,-0.1818712418022298
155,15600,-18.371587660551857,0.9328818,19.915253,51877336.99633207,0.9694133333333333,-0.18230119746251583
156,15700,-18.246702560851944,0.9479216,20.294909,51939194.80243748,0.9689333333333333,-0.18088351280633683
157,15800,-18.171372155092698,0.9914516,20.268007,51856524.43086291,0.9681333333333332,-0.18022360748298286
158,15900,-18.45329659361614,0.93022865,20.067379,52016255.918189935,0.9670333333333333,-0.1829768968352446
159,16000,-18.321222918820606,0.9104328,20.521072,51888915.94453147,0.9678733333333333,-0.1819229953293983
160,16100,-18.29495258003386,0.9461337,20.639153,51908026.3684846,0.9704266666666668,-0.181456570461022
161,16200,-18.20372430880567,0.96421206,20.424881,51941033.66636538,0.9711733333333333,-0.18049210370907812
162,16300,-18.191372669460968,0.95392644,20.711601,51952331.10896044,0.97074,-0.18034275536397504
163,16400,-18.360096328145598,0.94844794,20.855227,51909953.72591958,0.9663199999999997,-0.18221069152532815
164,16500,-18.570126354502737,0.9983856,20.91013,51854212.687148966,0.9669799999999998,-0.1844366961041683
165,16600,-18.606542463617327,0.9749221,21.173744,52001414.23779889,0.9686400000000001,-0.1846884299729178
166,16700,-18.52836944367228,0.9037423,21.109858,51907026.15542977,0.9682066666666668,-0.18377142384051157
167,16800,-18.435151336081315,0.9991043,20.936079,51964002.4858006,0.9682533333333331,-0.18285552256460422
168,16900,-18.224632890560823,0.99158156,21.407198,51991409.43185067,0.9697333333333333,-0.18068565934827377
169,17000,-18.61727573818392,0.9769293,21.522194,51834321.80008652,0.9668266666666666,-0.1847005826697419
170,17100,-18.291824805917546,0.86535895,21.169006,51875234.74517781,0.9668333333333333,-0.1812589566752304
171,17200,-18.34925524295256,0.9036121,21.197355,52021868.62788655,0.97058,-0.18201590876396878
172,17300,-18.4682617617775,0.8479865,21.656866,51858438.399191566,0.9674666666666665,-0.1830939511942741
173,17400,-18.320286459516126,0.95129466,21.511364,51880435.32155036,0.9685866666666668,-0.1818431807301396
174,17500,-18.242330146893785,0.89797294,21.673935,51974042.649504654,0.9693866666666667,-0.18108857577112708
175,17600,-18.322534015167996,0.91151446,21.617397,51959226.2163241,0.9681066666666666,-0.18183165115575575
176,17700,-18.301285044502134,0.9632193,21.645472,51914486.06720804,0.9684066666666666,-0.18136593644182977
177,17800,-18.207278382783986,0.9937046,22.009205,51910851.676281005,0.96938,-0.18050576758058684
178,17900,-18.050892861991112,0.9473457,22.09396,51818945.83749567,0.9691666666666665,-0.17919438923219516
179,18000,-17.949453226037587,0.9357232,22.117395,51875968.79290888,0.96982,-0.17806939254296864
180,18100,-18.20311761541478,0.9203601,22.01919,51782353.24935295,0.96784,-0.1802809662020034
181,18200,-18.44070407969722,0.9430005,22.296337,51860601.97132109,0.9689666666666665,-0.1829063962760669
182,18300,-18.621703704008567,0.9253479,22.686953,51910541.81423596,0.9667866666666665,-0.18474653574130417
183,18400,-18.10773385328804,0.91833395,22.571095,51993149.768322736,0.9695533333333332,-0.17976876635225128
184,18500,-18.265082364507233,0.92002213,22.297392,51760019.54850297,0.9662466666666667,-0.18131862422154796
185,18600,-18.1131119220979,0.9285478,22.522633,51902874.54950679,0.9693333333333334,-0.1798158584086456
186,18700,-18.239936745475063,0.9236519,22.636745,51857074.808553986,0.9672133333333334,-0.18110145019297497
187,18800,-18.345114207865844,0.91914856,22.630291,52059709.217174545,0.9686400000000001,-0.18198118397685514
188,18900,-18.365244239791465,0.96627265,22.72016,52027648.64627898,0.9709333333333333,-0.18241752681112383
189,19000,-18.312596175840813,0.9841875,22.613754,51974950.01978462,0.9681199999999998,-0.18172767345873264
