episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-26.198315953513262,8.828926887512207,-0.24926491983234883,51605482.67274077,0.9328066666666663,-0.25975962901626987
1,200,-25.71901090712084,3.1397629,0.6990424,51613203.71697452,0.9349533333333331,-0.25507279378766584
2,300,-25.83091041900251,1.7212204,1.4410521,51664198.842955984,0.9332466666666664,-0.2560893443101846
3,400,-25.53504141485699,1.3529912,1.4930371,51871330.83456835,0.9388199999999999,-0.2532692345289679
4,500,-25.43181900131615,1.1280521,1.6440068,51706531.436156005,0.9382799999999999,-0.25218785948968375
5,600,-24.783066357107163,1.0113239,1.7671908,52005836.651404805,0.9469733333333334,-0.24569945170692353
6,700,-24.656080591131325,0.899735,1.9104342,52221117.50809285,0.9489333333333331,-0.24446330631388025
7,800,-24.347621542180352,0.80474526,2.040807,52215465.33207636,0.9501866666666667,-0.24178586413233338
8,900,-24.150410441150417,0.77416795,2.1344824,52038351.24920595,0.9493066666666665,-0.23950620957680144
9,1000,-23.455290162498503,0.7733263,2.2561505,52176912.86010523,0.9562733333333333,-0.23249119968419557
10,1100,-23.48888826381949,0.81909907,2.420726,52065789.426859245,0.9523799999999998,-0.23278939495588083
11,1200,-22.84092668874637,0.82450867,2.5528517,52238410.17513805,0.9576533333333332,-0.22643456873068718
12,1300,-22.386777689899603,0.8189781,2.723712,52259864.306615606,0.95972,-0.22193414721787078
13,1400,-22.361369521225626,0.8176575,2.8426893,52240843.77791635,0.95902,-0.2217306474034529
14,1500,-22.16766224189756,0.8156668,2.956193,52329052.871254005,0.9623399999999998,-0.21962467384937534
15,1600,-21.5678707857364,0.82231337,3.0764835,52247294.725214764,0.9616733333333334,-0.2139827806837985
16,1700,-21.970892749724374,0.79992044,3.2176342,52123756.747483216,0.9590666666666667,-0.21761116616939732
17,1800,-21.907395607817058,0.81482106,3.365099,52210692.56276948,0.9603733333333333,-0.21713312936672055
18,1900,-21.692922104671403,0.79140145,3.52746,52215291.65511198,0.9600266666666665,-0.21471922703181037
19,2000,-21.437246528920035,0.7854765,3.6557474,52242659.81656746,0.9600466666666665,-0.2124908228918165
20,2100,-21.139173281524904,0.8023744,3.802609,52157043.78827048,0.9630133333333332,-0.20940739986551202
21,2200,-21.207309283890137,0.7779201,3.9264421,52131602.91480146,0.9618599999999998,-0.21018936871848942
22,2300,-20.921237055746026,0.7941846,4.0026665,52022445.130044654,0.9615133333333333,-0.20735346714709596
23,2400,-21.523738416062216,0.76412356,4.2504473,52160319.64487188,0.9608466666666665,-0.21328865806420988
24,2500,-20.99247709305594,0.8019407,4.3707805,52096792.386267155,0.9607799999999999,-0.20801128371885355
25,2600,-20.819358692295204,0.7732518,4.4849963,52120052.40205099,0.9620533333333332,-0.20644155355138372
26,2700,-20.716078889498625,0.83950883,4.6251144,52096850.406468935,0.9623466666666666,-0.20514700494372795
27,2800,-20.713895500811528,0.82341176,4.786519,52057632.58769802,0.96036,-0.20511543643375243
28,2900,-20.30283615481808,0.8504679,4.955218,51991201.70017876,0.9630266666666665,-0.20116180435488784
29,3000,-20.395377560349466,0.8544946,4.982323,51986197.76257095,0.9624199999999997,-0.20208814313008752
30,3100,-20.125862486711355,0.8113028,5.1738544,52141317.90408672,0.9651733333333332,-0.1993767697381333
31,3200,-20.380900516119063,0.8448604,5.382076,52161447.36613629,0.9627466666666664,-0.20177510682950556
32,3300,-20.217293359421657,0.85421044,5.4651184,52066433.10621217,0.9634466666666666,-0.20035242611598872
33,3400,-19.849459731850207,0.8490656,5.567536,52064444.28305717,0.9635799999999999,-0.19656347302756802
34,3500,-20.113094785964176,0.8875694,5.705155,52000217.05811966,0.9623533333333332,-0.19934268342770123
35,3600,-20.02784373279454,0.8522219,5.8119507,52080220.81375373,0.9618133333333332,-0.19852404554558023
36,3700,-19.70869073255758,0.87783843,5.970041,51987284.49335367,0.9620533333333332,-0.1951756618108077
