episode,total_steps,avg_reward,avg_throughput,avg_non_blocked,avg_load_balance,value_loss,action_loss,entropy_loss,lr
1,6000,-0.281682280792312,35211034.5041844,0.9452592592592592,-0.28247425736485265,5.688151321411133,-6.17594115344294e-05,0.056767489035924275,0
2,12000,-0.27968451852905035,35229549.87845588,0.9443299663299665,-0.2805359767872874,5.561117909749349,-5.286241397207429e-05,0.05678562092781067,0
3,18000,-0.2786042224375902,35254839.11310235,0.9464074074074074,-0.27944010620176435,5.56979871114095,-4.7120160487187e-05,0.05678065037727356,0
4,24000,-0.2797217270933622,35214273.00946832,0.9447946127946127,-0.280486377168173,5.49903803507487,-4.549088780480541e-05,0.05678916152318319,0
5,30000,-0.276476781123667,35304169.054118104,0.9465218855218855,-0.27722174973787717,5.421705001831055,-5.428540282497352e-05,0.056815898815790813,0
6,36000,-0.27697938507165165,35327375.251628,0.9474410774410773,-0.2776454103130195,5.421067235310872,-4.5067723797880417e-05,0.05683579802513122,0
7,42000,-0.27632946596640895,35336978.91999763,0.9464579124579124,-0.2769881736164512,5.329028467814128,-5.408980564660245e-05,0.056858346541722615,0
8,48000,-0.2763026237259823,35367350.66729507,0.9477373737373737,-0.27706385204287665,5.168412353515625,-4.464152081861054e-05,0.056870121479034426,0
9,54000,-0.27461294779538864,35389087.69104604,0.946040404040404,-0.27551135250469594,5.235952479044596,-4.476155580232444e-05,0.05690185745557149,0
10,60000,-0.27736117855011744,35310349.64061711,0.9443164983164983,-0.2781827029680793,5.371110071818034,-4.462400456269696e-05,0.05691768105824788,0
11,66000,-0.2750049280089595,35422017.77912544,0.9468956228956228,-0.27574931816076004,5.132235168457031,-3.8341074573054354e-05,0.05693958290417989,0
12,72000,-0.2744257524136324,35385831.405846395,0.9464915824915825,-0.2752920806327137,5.204139068603515,-3.9417051882082884e-05,0.056958276987075805,0
13,78000,-0.2730380503295646,35430858.62895448,0.9464915824915825,-0.2739721302806856,5.148751007080078,-4.30577153226371e-05,0.056989766677220666,0
14,84000,-0.272047602426097,35434191.78002962,0.9464309764309763,-0.2729486432944464,5.111813308715821,-5.115932548710589e-05,0.05703422586123148,0
15,90000,-0.2722817982583354,35521222.068731405,0.9508888888888889,-0.27308588485404084,5.061559499104818,-3.278686983336835e-05,0.05708107018470764,0
16,96000,-0.2713431570867317,35480426.25287348,0.9488417508417508,-0.27201163822075475,5.005998453776042,-5.3046882534583045e-05,0.057109174489974976,0
17,102000,-0.27135327443922447,35534179.74558966,0.9484680134680136,-0.2721166836116036,5.032011525472005,-3.4138810705485414e-05,0.057143876870473224,0
18,108000,-0.2700231890732156,35592174.1633243,0.9500370370370369,-0.270653939079986,4.973901433308919,-3.9522767687382534e-05,0.057166207313537595,0
19,114000,-0.26913632032780044,35557365.81083637,0.9457205387205387,-0.2699140733173323,4.93358479309082,-4.009336500196999e-05,0.05717259335517883,0
20,120000,-0.2693114939955301,35614043.94594535,0.9492356902356902,-0.2700107442918469,4.908459314982096,-4.473181031266904e-05,0.057192115783691405,0
21,126000,-0.26913720617605646,35618674.28488934,0.9492525252525251,-0.2698048709670642,4.932475692749024,-4.9348905424115703e-05,0.05721992723147074,0
22,132000,-0.26674999165783214,35558182.79634666,0.946993265993266,-0.2674979826714364,4.765453893025716,-3.654304697450546e-05,0.057234748284022016,0
23,138000,-0.26606351771061765,35659738.86299405,0.9494478114478115,-0.26679904270145666,4.683041163126628,-3.648155259096105e-05,0.05725155671437581,0
24,144000,-0.263373683709616,35694669.40543158,0.9485286195286196,-0.26404877546224353,4.6701204986572264,-3.204928881435383e-05,0.05728179216384888,0
25,150000,-0.2643488227992263,35710891.9909788,0.9494814814814815,-0.2651431546364911,4.668890553792318,-4.077576675217642e-05,0.05731366340319315,0
26,156000,-0.2637645369871186,35762049.246498935,0.9506026936026936,-0.26450909505173315,4.572511205037435,-4.7500201869600764e-05,0.05733980933825175,0
27,162000,-0.2623632897754354,35741141.279347286,0.9495959595959597,-0.2631194292646226,4.527939142862956,-4.651598093065938e-05,0.05736414949099223,0
28,168000,-0.2627279066578845,35706136.58299142,0.9473737373737373,-0.2635560261050961,4.600713887532552,-2.882534222648777e-05,0.05737393164634705,0
29,174000,-0.2628990476417972,35710426.68710433,0.9493131313131313,-0.2636303129135617,4.560786997477214,-3.951621561266923e-05,0.05739149498939514,0
30,180000,-0.26557737390980524,35656446.167657346,0.9486498316498315,-0.2663572665747518,4.652058125813802,-4.362177374880124e-05,0.057422369718551636,0
31,186000,-0.2645881508511435,35666600.77237735,0.9495521885521886,-0.2652249216953018,4.583202514648438,-2.5801195649061506e-05,0.05744664033253988,0
32,192000,-0.26240850105811353,35695732.38164206,0.9469898989898989,-0.26329070955963657,4.53410487874349,-3.2315547409628685e-05,0.05745144136746724,0
33,198000,-0.2627152006630251,35671755.352567084,0.949127946127946,-0.26349946680017466,4.4633090159098305,-2.31517273512812e-05,0.05747034454345703,0
34,204000,-0.26199513446069134,35766150.30924949,0.9526195286195286,-0.2627509891632775,4.446211196899414,-4.055368501235535e-05,0.057490318695704146,0
35,210000,-0.26134412366418525,35759401.827468894,0.9487811447811448,-0.2619660877393145,4.452509643554688,-4.276219612999436e-05,0.05748746498425802,0
36,216000,-0.2585076747225497,35942461.584689066,0.9530740740740741,-0.2590951902029796,4.268753092447916,-2.6614882482467313e-05,0.05749673581123352,0
37,222000,-0.25943742790649393,35865556.09509161,0.9525656565656565,-0.2601235318510248,4.306488515218099,-4.524400160850443e-05,0.05751735432942708,0
38,228000,-0.25781661552706303,35920532.025445625,0.9522558922558922,-0.25843614300140966,4.167045542399088,-3.0493915798160743e-05,0.05752652327219645,0
39,234000,-0.25604401073933497,35916725.75385106,0.9512356902356902,-0.25671423917346825,4.090958351135254,-2.3296188358424766e-05,0.05753016789754232,0
40,240000,-0.25797239331048194,35899666.53887718,0.9510471380471379,-0.25874454580713857,4.257189076741536,-2.6412591783649e-05,0.057520068407058714,0
41,246000,-0.25566727804563427,35953840.18960387,0.9524915824915825,-0.25648148920673125,4.057235555013021,-3.121441765604989e-05,0.05751597770055135,0
42,252000,-0.2553390864371005,35935210.00666984,0.9534915824915825,-0.256224888521627,4.009109430948893,-2.8079263535801146e-05,0.05752875979741414,0
43,258000,-0.2548984128197465,36003084.07299751,0.9550976430976432,-0.25570159028732065,4.057988276163737,-3.0000615156877095e-05,0.05753351672490438,0
44,264000,-0.2544699908330256,36070987.26402202,0.9549124579124578,-0.2552494327307928,3.9798822758992514,-3.241795234498568e-05,0.05755688738822937,0
45,270000,-0.25198147553522643,36059356.39485297,0.9524983164983165,-0.2526250556896448,3.8000757522583006,-3.474608287350141e-05,0.057608159065246585,0
46,276000,-0.24899938860673318,36176441.022818245,0.9560572390572389,-0.24970360908544043,3.7792682876586916,-1.750680239134302e-05,0.05762445044517517,0
47,282000,-0.252096825961856,36081904.06089762,0.9534781144781145,-0.25292316089584393,3.839253077189128,-2.3201568559822287e-05,0.05765362175305684,0
48,288000,-0.25148208641583,36101201.22383602,0.9516868686868686,-0.2520512254826204,3.6936130879720053,-2.4612281107636135e-05,0.05769611835479736,0
49,294000,-0.24989635619322048,36180311.92600152,0.9552020202020202,-0.25066410573864323,3.744034739176432,-3.0125190079767586e-05,0.0577175710995992,0
50,300000,-0.248772579921094,36240906.77266636,0.9540774410774411,-0.24956856031227306,3.5980050455729167,-2.710490304951918e-05,0.057739059607187906,0
51,306000,-0.24612913631558028,36281005.90988389,0.9557306397306398,-0.24684845053845741,3.577673589070638,-2.0682113086119593e-05,0.057762874841690064,0
52,312000,-0.24555220477069917,36327499.37572178,0.9562087542087542,-0.24629499387052245,3.4727058944702147,-3.361063454529282e-05,0.05777776606877645,0
53,318000,-0.24094881815705993,36425311.80027264,0.9551649831649832,-0.24160666654279347,3.30520462290446,-3.0938901719006633e-05,0.05777808841069539,0
54,324000,-0.24166021839559446,36291829.652015895,0.9525050505050505,-0.24246595800238974,3.3250651753743488,-2.8848656154877972e-05,0.05778805192311605,0
55,330000,-0.2410350001896752,36475518.73222057,0.9562929292929293,-0.24177969683966039,3.2756362584431966,-1.6161461534693445e-05,0.05780109945933024,0
56,336000,-0.2435361346378242,36374463.68387824,0.9554309764309765,-0.24406024950583385,3.205211420694987,-3.8519602585286826e-05,0.057814441760381065,0
57,342000,-0.24131812505457317,36414240.334273204,0.9562962962962964,-0.24201220445103072,3.196887222290039,-3.276189201373351e-05,0.0578458313147227,0
58,348000,-0.24009176586250006,36458374.87197766,0.9557609427609427,-0.24078042974252198,3.132088696797689,-2.48084846718181e-05,0.05788237555821737,0
59,354000,-0.23947186710956597,36408276.57313163,0.9549865319865319,-0.24005888767059286,3.074472567240397,-1.4012458500171002e-05,0.05790785519282023,0
60,360000,-0.24011102470001772,36406448.93517011,0.9549932659932662,-0.2408363714230652,3.0516389846801757,-1.3500011575615645e-05,0.05791241979598999,0
61,366000,-0.2404817856942219,36382898.303471856,0.9517542087542088,-0.24104791774360412,3.0463406931559245,-3.155164872246511e-05,0.057936132431030275,0
62,372000,-0.2380775476440131,36440673.04248481,0.9549730639730639,-0.2387996400001035,2.9215767669677732,-2.233680997071019e-05,0.05797570387522379,0
