episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-24.616156118962817,10.750171928405761,-0.297471023760736,36894295.31334965,0.9545333333333332,-0.2441416240786157
1,200,-24.297885592959997,5.1027575,0.5084235,37047699.24272329,0.9547266666666666,-0.2410239504741433
2,300,-24.032056990975992,2.9516068,1.2692353,37103116.4651388,0.9558266666666665,-0.23856734139505104
3,400,-24.333926339864625,2.1523812,1.414624,37025127.12193536,0.9542666666666666,-0.24142850374103994
4,500,-24.042381235384102,1.598679,1.4575183,37149785.20565316,0.9554466666666664,-0.2386924269321641
5,600,-23.9825279237218,1.2498374,1.6289914,37169138.62352172,0.9555133333333333,-0.23805829228353334
6,700,-23.53896102127275,1.0493356,1.7189484,37382014.98355428,0.9575266666666666,-0.2336511798586658
7,800,-23.31017306599218,0.91226435,1.8560038,37403539.055251785,0.9583599999999998,-0.2313010934265289
8,900,-22.735720915217325,0.79324305,1.9127417,37548264.679451026,0.9599266666666666,-0.22564061526717163
9,1000,-22.429447536710875,0.734487,2.050624,37614530.150875285,0.9580199999999999,-0.2224146324585109
10,1100,-21.915090810438816,0.70450515,2.1118662,37924480.100527175,0.9625266666666665,-0.21745019011198974
11,1200,-21.641398584261776,0.641588,2.2400162,37978714.99259792,0.9617066666666667,-0.2148641172968725
12,1300,-20.93090440017871,0.6236678,2.3944395,38123543.72327129,0.9632266666666667,-0.20766451067105374
13,1400,-20.615814819396853,0.6419748,2.4784868,38194057.99657392,0.9619333333333332,-0.20473764923798488
14,1500,-20.01465615308001,0.60020125,2.6075904,38363620.36834468,0.9645466666666666,-0.19881576448273094
15,1600,-19.84027402615431,0.5735374,2.6989808,38439904.480853386,0.9643733333333331,-0.19685915710940838
16,1700,-19.756538529285038,0.5316536,2.7860143,38441035.78745781,0.9648066666666665,-0.19627544447758344
17,1800,-19.678165652962115,0.55263215,2.9461453,38550446.11697086,0.9653933333333332,-0.19532315182670762
18,1900,-19.74655231288768,0.5868553,3.028701,38497625.828513354,0.9664733333333331,-0.19619206749142862
19,2000,-19.424809962917355,0.55261517,3.212813,38570427.50981191,0.9668133333333332,-0.19296874544856754
20,2100,-19.10110223295693,0.55055535,3.3337173,38626904.78906455,0.9657599999999998,-0.18962195034163837
21,2200,-19.08422033345998,0.535169,3.4786978,38670453.05379204,0.9668866666666666,-0.1895244972688309
22,2300,-18.83380833324207,0.57014513,3.6006684,38696192.486729786,0.9664133333333331,-0.1870935753975324
23,2400,-18.765592558321643,0.5406487,3.7558258,38741102.678499155,0.9685399999999997,-0.18612303369621291
24,2500,-18.631301625326667,0.56027997,3.8488874,38860618.60453807,0.9684599999999998,-0.18507647787813095
25,2600,-18.804394285497168,0.5803692,3.88349,38690229.46737154,0.967933333333333,-0.1866862978350935
26,2700,-18.54833077423432,0.52117616,4.0512304,38821676.80957303,0.9684266666666664,-0.1840690941799701
27,2800,-18.72102127662946,0.5870796,4.1553907,38731298.37234703,0.9694999999999998,-0.18577976669914964
28,2900,-18.764519144799173,0.54135126,4.2548385,38716585.51632874,0.9676599999999999,-0.18639776645177697
29,3000,-18.406764517025653,0.6127306,4.435152,38848640.399678595,0.9662466666666666,-0.1826839292694353
30,3100,-18.42690236634411,0.5926397,4.5081773,38827789.900969915,0.9661733333333332,-0.1829993521952752
31,3200,-18.327285006832984,0.6338165,4.7384176,38880934.80174358,0.9684666666666665,-0.18203056872588752
32,3300,-18.24282483903668,0.6079071,4.778927,38928065.50260002,0.9702599999999998,-0.18119002584908897
33,3400,-18.283594919012504,0.58754015,4.8826637,38806005.51332148,0.9645266666666665,-0.18155372889357344
34,3500,-18.62159283456718,0.6547817,4.8704667,38737047.06138943,0.9664266666666665,-0.18484571253857257
35,3600,-18.168043753167005,0.63950604,5.148485,38841009.057186745,0.9673266666666664,-0.1803508002021797
36,3700,-18.215971007860635,0.71653783,5.3308477,38941631.27997494,0.9673266666666664,-0.18087120438844412
37,3800,-18.199160539531924,0.5688501,5.3853364,38920990.37899053,0.968553333333333,-0.18075338285404144
38,3900,-18.12734289576251,0.7940561,5.59606,38946851.47646474,0.9669266666666663,-0.17999407477701906
39,4000,-18.220273927446346,0.7516744,5.7650676,38977201.2854789,0.9713599999999997,-0.18095786224800506
40,4100,-17.955132165572813,0.7542612,5.6877112,38938332.80578158,0.9667199999999998,-0.17827633674099402
41,4200,-18.151751394369917,0.6892009,5.9271827,38913584.339767076,0.9666399999999997,-0.18030037417569897
42,4300,-18.200340518912455,0.78475004,5.99229,38893159.941728264,0.969593333333333,-0.1806990236063593
43,4400,-18.072102157492473,0.8694687,5.9421015,39030082.47957826,0.9678199999999999,-0.17942623049115208
44,4500,-18.217924860055756,0.6211577,6.2130895,38976654.478240184,0.9674999999999997,-0.18090959909122706
45,4600,-17.718316323901036,0.74072313,6.4114466,39013382.38419022,0.9671733333333331,-0.17599230678529054
46,4700,-18.043640620275998,0.8034181,6.5439734,38918275.414104305,0.9698066666666665,-0.17909761736371338
47,4800,-18.266145072349445,1.0068047,6.7420325,38864988.95959277,0.96798,-0.18145752879948976
48,4900,-18.022864256987376,0.8301625,6.5667295,38932119.89608391,0.9688333333333331,-0.17902813239025928
49,5000,-18.127112106721327,0.7672514,6.650356,38945795.09006774,0.9654533333333332,-0.18002175872955528
50,5100,-18.25101997114414,0.93125314,7.077584,38889549.1830211,0.9672733333333331,-0.18115503395705615
51,5200,-18.17230380810861,0.7588128,7.163734,38942999.97178826,0.96644,-0.1804802143123398
52,5300,-18.15382222383673,1.0439007,7.12437,38863312.73497129,0.9656866666666666,-0.18019314800571026
53,5400,-18.17973960216462,1.1018765,7.443279,38909140.41151441,0.9665199999999998,-0.18053052818538723
54,5500,-18.012759925272917,0.9628789,7.494463,38932570.509920426,0.966213333333333,-0.1787809586871844
55,5600,-17.919074438750062,1.1436722,7.6103907,38972622.66112649,0.9657866666666665,-0.1778770971228963
56,5700,-17.828178252994984,0.9235876,7.5774627,38966251.627012566,0.9659533333333331,-0.17701841841422988
57,5800,-17.865888756812577,1.0835238,7.869737,39029796.8076814,0.9688399999999997,-0.17747357185179222
58,5900,-17.92125637529448,1.1159915,7.549676,39034654.65989478,0.966093333333333,-0.1779429142436143
59,6000,-18.143689182667813,0.91514677,7.9306574,38981583.896513276,0.9659999999999997,-0.18010607254738428
60,6100,-18.046660677179037,1.0870847,8.140822,38971022.98613653,0.9672733333333331,-0.1792049268222125
61,6200,-17.80486340704568,1.1451337,8.330803,39056940.98666847,0.9674933333333331,-0.17668010242949958
62,6300,-17.882526124708725,1.2327715,8.352638,38996327.89082776,0.9644266666666663,-0.1775268084457638
63,6400,-18.14308261671329,1.0617318,8.387225,38979451.21067758,0.9669666666666664,-0.18007540773970077
64,6500,-17.929391982646855,1.4121207,8.506589,38984539.29438312,0.9682666666666665,-0.17805189115707315
65,6600,-18.05899915928155,1.1257665,8.781152,38945621.81760258,0.966073333333333,-0.17937969229905154
66,6700,-17.910645094943355,0.97819567,8.839621,38964404.86992395,0.9670866666666665,-0.17777657118005735
67,6800,-18.27999519387536,1.6297402,8.734956,38854933.08756099,0.9657666666666664,-0.18152579950052894
68,6900,-18.099494949084832,1.2827363,8.984763,38937781.79578447,0.9658399999999997,-0.17975447112844403
69,7000,-17.933764718663948,1.3849878,9.146867,38999306.42694838,0.9663599999999997,-0.17801142913481405
70,7100,-17.90799101998261,1.5924112,9.164228,38981801.09712477,0.9674733333333332,-0.1778209476954117
71,7200,-18.126337331655716,1.3857524,9.429723,38973585.34222745,0.9645600000000001,-0.1799937238072267
72,7300,-18.507295035485104,1.3641691,9.651051,38813622.7732492,0.9666666666666666,-0.18381007772005412
73,7400,-17.984305784077055,1.696287,9.74693,38943725.882710256,0.9655599999999998,-0.17847284203367125
74,7500,-17.98774789327106,1.6873152,9.728564,38987256.09595997,0.9672933333333332,-0.17862550315215392
75,7600,-18.061607869899664,1.4691178,9.512774,38987507.43519121,0.9673666666666664,-0.1792860545190535
76,7700,-17.726658805290693,1.2407149,9.654904,39050239.73129112,0.9667666666666666,-0.1760372745812995
77,7800,-17.991290167135887,2.2991624,9.888765,38942525.50495384,0.9650866666666664,-0.17852605627587387
78,7900,-17.780195418339023,1.7385573,10.215459,39076760.79403362,0.966673333333333,-0.17661035307344605
79,8000,-18.19038287902382,1.8631668,9.903292,38928495.895759776,0.9649399999999998,-0.18061794677613582
80,8100,-18.024023866601212,1.9546432,10.461626,38932760.354652554,0.9659133333333332,-0.1789412656696095
81,8200,-17.79118810072537,1.4495708,10.275067,39104849.89875649,0.9658666666666665,-0.17663997567679662
82,8300,-17.936037494715023,1.9147842,10.47862,39018908.06977756,0.9677266666666664,-0.17807815465059862
83,8400,-17.85858303340035,1.6625624,10.524175,39004827.72822966,0.9696666666666663,-0.1773870043205311
84,8500,-18.00281125886891,1.7046268,10.545998,39010475.42751406,0.9672866666666664,-0.17873594518097616
85,8600,-17.921663762313937,1.9520551,10.684419,38937342.74002155,0.9650533333333332,-0.17785779991804226
86,8700,-18.058309791698566,1.7667916,10.648786,38937417.437493846,0.9682599999999998,-0.1792631652587708
87,8800,-18.00211173331207,1.7033038,10.878792,38962886.38514742,0.965453333333333,-0.17867604310046364
88,8900,-17.85462883328902,1.8457544,11.214277,38938467.49918332,0.9647399999999998,-0.17732232074497564
89,9000,-17.976951802120432,1.5899539,11.324724,39000543.152609795,0.9687399999999999,-0.17846097369815264
90,9100,-18.050635467965282,1.5739679,11.31086,38907277.71787461,0.9643399999999998,-0.17923289904220469
91,9200,-18.053825827162143,1.6662785,11.545437,38894296.66318885,0.9660933333333331,-0.17924346718784873
92,9300,-17.890741926371877,1.7549973,11.606704,38944539.5916511,0.9659066666666665,-0.17760268106878474
93,9400,-17.889872805268134,1.6835866,11.74329,39003788.7249897,0.9666666666666667,-0.1776290785433508
94,9500,-17.67658716302694,1.8600395,11.854313,39006449.69442341,0.9655199999999998,-0.1756030738123182
95,9600,-17.90626396149842,2.4561088,11.450944,38947952.806356765,0.9654599999999998,-0.1778209611478601
96,9700,-17.666291404657052,2.1547952,11.722778,39057783.47187687,0.9652733333333331,-0.175328035966112
97,9800,-17.74335633445975,1.8495336,12.193171,38930748.28734328,0.9620066666666663,-0.17610982455826496
98,9900,-17.960312190980385,2.0881128,12.118181,38918650.98626076,0.9655533333333332,-0.17832407819390508
99,10000,-17.65887104020965,2.9923296,12.082142,38964424.01610515,0.9635733333333331,-0.17529391931832386
100,10100,-17.91613539761125,1.9304991,12.461556,38987425.96583495,0.9653733333333332,-0.1777659965945711
101,10200,-17.67801134070165,1.8850598,12.370135,39016551.76835716,0.9643533333333331,-0.17558588862101257
102,10300,-17.811207816696772,2.5060472,12.136614,38938095.365406506,0.9654466666666665,-0.176832337135909
103,10400,-17.93257552225648,1.6611432,12.392893,38969609.92037324,0.9659533333333332,-0.1780587293892942
104,10500,-17.703107939775148,2.3955119,12.669381,39020446.94152072,0.9672266666666665,-0.17579285685647375
105,10600,-17.827820446605504,2.3883471,12.431943,38976504.55281672,0.9660533333333331,-0.17702157701490331
106,10700,-17.71411168022566,2.073344,12.564859,39028947.8321747,0.9658799999999997,-0.17589280273925065
107,10800,-17.399095405899935,1.5148642,13.01133,39128656.13721842,0.9663133333333331,-0.17277158769855322
108,10900,-17.632519579655504,2.2738907,13.018703,39023592.9673229,0.9649533333333331,-0.17503456814441729
109,11000,-17.756945830449627,1.8241042,13.014215,38999535.31141813,0.9648866666666664,-0.17623577240700244
110,11100,-17.928405516745467,2.3978426,13.26396,38902916.55153116,0.965313333333333,-0.17803113987698022
111,11200,-17.82239536309895,2.323221,13.25497,38972951.726358674,0.9666666666666665,-0.17686002321750074
112,11300,-17.930299058422143,2.7928934,13.641823,38949933.066482216,0.9666133333333331,-0.17815276355349133
113,11400,-17.68244141315996,2.3156166,13.139621,39012534.130704865,0.9672133333333331,-0.1755221552021585
114,11500,-17.906382222260486,2.3122153,13.499782,39008333.038379684,0.9657733333333332,-0.17764332326662122
115,11600,-17.86818234854722,2.853261,13.602769,38962258.35614031,0.9678199999999998,-0.17748751110590605
116,11700,-17.902807982017286,3.0024097,13.438607,38964560.229979984,0.9665866666666664,-0.177651578619463
117,11800,-17.800318036811685,2.9659073,13.983849,39013705.271303765,0.9672733333333332,-0.1767461016460074
118,11900,-17.94944221476792,3.0480497,14.027531,39008651.73247175,0.9657733333333333,-0.17823042042736584
119,12000,-17.8282330747606,2.391493,13.988306,38972967.81209254,0.9641266666666666,-0.17694982730217002
120,12100,-17.891604563962737,2.4951694,14.292376,38929270.938214764,0.9654466666666665,-0.17766525231112848
121,12200,-18.108161933965448,3.1679144,14.036172,38896277.82376401,0.9644599999999998,-0.17972397431977635
122,12300,-18.199205638396318,2.3011045,14.050833,38887804.787223406,0.9635399999999996,-0.18070028066009122
123,12400,-17.72552317187668,1.6796441,14.6814575,38912280.83351898,0.9661933333333331,-0.17599815299665744
124,12500,-17.644785537436416,2.5360613,14.500964,39075188.097927965,0.966533333333333,-0.17527248676919188
125,12600,-17.602720224886745,3.3546555,14.462793,39067007.985193826,0.9653399999999998,-0.17482917133474585
126,12700,-17.868837210525616,3.2408059,14.60326,38988627.63355573,0.9648999999999998,-0.17727832197451804
127,12800,-17.92861864960695,2.310487,14.942122,38954417.4684995,0.9662266666666663,-0.17784316964170346
128,12900,-17.91190804990581,3.0612826,14.346241,38908356.73504303,0.9651399999999998,-0.17776994746523644
129,13000,-17.586321253834125,2.555673,14.949804,39039733.21133468,0.9646533333333333,-0.17459984842262127
130,13100,-17.678255297619835,3.3960962,14.885686,39060770.81533648,0.9651333333333331,-0.1754374787435412
131,13200,-17.72331264446111,2.4385264,15.170572,38975457.81459944,0.9642533333333332,-0.1758566252439013
132,13300,-17.99919371388205,3.3125913,15.19721,39007935.62486002,0.9653066666666665,-0.1787588597889236
133,13400,-17.849458393828286,2.0772715,15.402195,39000326.165337406,0.9648466666666666,-0.1772815029714473
134,13500,-17.80033841972652,2.2228913,15.312509,39055134.42647548,0.9658666666666664,-0.176726509282152
135,13600,-17.771779168855392,2.9568667,15.533614,39003940.14080961,0.9655999999999998,-0.17638162652556721
136,13700,-17.86813949926665,3.1124809,15.598955,38976096.30505288,0.9636266666666664,-0.1773286002412941
137,13800,-18.04268962375665,2.5761514,15.812023,38878394.45060188,0.9635866666666665,-0.17921572288123933
138,13900,-17.784572267391138,2.9014893,15.532954,38945052.472052984,0.9665199999999997,-0.17653207540930707
139,14000,-18.232883998352747,2.9519684,15.603359,38805750.697054274,0.9631533333333331,-0.18098376575087044
140,14100,-18.125868469696616,2.5268412,16.252834,38858196.380467735,0.9646199999999998,-0.1799099487467584
141,14200,-17.999205735665452,3.6696887,16.245243,38965999.767792754,0.9646799999999999,-0.17860298536872363
142,14300,-17.80963123062833,2.3735614,15.876381,39038685.267091185,0.9644666666666664,-0.17685808976500558
143,14400,-17.736859538744667,3.4282432,16.153847,39012599.518078186,0.9642866666666664,-0.1762025275357857
144,14500,-17.857908692634666,3.1302905,16.30728,39000127.3092527,0.9623733333333332,-0.1773653245301889
145,14600,-17.584461331933728,3.124375,16.27036,39015088.40706846,0.9648666666666663,-0.1746395019122543
146,14700,-17.89546637026905,2.03268,16.38451,38917413.608440846,0.9635599999999996,-0.17773123854107983
147,14800,-17.722841788497302,4.0928826,16.454916,38953760.546065874,0.9626333333333331,-0.17602201669547538
148,14900,-17.556021939756473,3.4350767,16.114828,39104126.25997137,0.9674266666666663,-0.17435116800321315
149,15000,-17.59048739467806,4.05828,16.18394,38994594.0214242,0.9636933333333332,-0.174622653650229
150,15100,-17.37182545092425,2.4940023,16.802254,39072163.61827253,0.9649133333333331,-0.1725483805294638
151,15200,-17.402443055153242,2.5197625,17.073889,39069772.71898205,0.9653333333333332,-0.17280125806296864
152,15300,-17.671861197744526,2.7740042,16.350527,38932628.923907,0.963813333333333,-0.17552438719144134
153,15400,-17.475369286076713,2.2098205,16.747868,39038505.41238808,0.9638666666666664,-0.17357854769996112
154,15500,-17.366812007347146,2.9123843,16.876715,39084168.29504387,0.9648733333333331,-0.17237961438330926
155,15600,-17.57170937707156,3.1496024,17.02687,38989262.55453502,0.9649399999999999,-0.17438117104761472
156,15700,-17.72575540687217,4.933157,16.862066,38984925.978156775,0.9635466666666663,-0.17602561692105448
157,15800,-17.421895898969687,3.5547755,17.47725,39089229.38947251,0.9653399999999996,-0.17292066418538526
158,15900,-17.723533968575264,3.3188567,17.517126,39000049.67547999,0.9632399999999998,-0.17597499092993335
159,16000,-18.008360544531687,2.8948073,17.455698,38875802.72416718,0.9632199999999997,-0.17890195144653404
160,16100,-17.84978550528535,2.5255518,17.020378,38957056.71014978,0.962553333333333,-0.17714774179689435
161,16200,-17.563140312333704,3.2488568,17.634245,39043352.32818914,0.9624599999999998,-0.17442103892761363
162,16300,-17.36786455463304,4.125857,17.356106,39151544.124961,0.9643599999999997,-0.17254727469643188
163,16400,-17.425683409645696,2.9792163,18.309875,39129770.841765985,0.9666599999999996,-0.1729271967669666
164,16500,-17.357242198100963,3.8387442,17.495554,39154481.632261306,0.9649199999999998,-0.17227707763463926
165,16600,-17.51857338637257,4.3494935,17.603588,39004787.41454891,0.9661266666666664,-0.17396884676877244
166,16700,-17.468711503402105,3.7340908,17.555792,39100276.0088685,0.9682266666666663,-0.1734263745943609
167,16800,-17.476860625318217,3.591059,17.870464,39092752.58387424,0.9647066666666665,-0.1735618106799571
168,16900,-17.33726286935836,3.0163527,18.118446,39145204.35011687,0.9671666666666664,-0.17215588600919726
169,17000,-17.26645262098796,4.219664,17.904472,39054100.63592753,0.9648199999999997,-0.17152058457276007
170,17100,-17.170520838448493,3.8094745,17.887877,39187996.6679175,0.9662666666666664,-0.17046070044959657
