episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-28.01588574265077,13.594512214660645,-0.2930404357239604,35100127.88160515,0.9413533333333332,-0.2779690643697782
1,200,-27.61901471270955,5.547403,0.5735047,35202747.98258703,0.9413133333333333,-0.27420881031478195
2,300,-27.308763734607073,2.8276196,1.5360185,35296462.84361626,0.9424466666666665,-0.27120634265635213
3,400,-27.794448658372815,2.3200142,1.7307988,35090322.684181586,0.94122,-0.2759784047539355
4,500,-27.342900426144464,1.9806796,1.7987322,35306480.87298849,0.9415533333333332,-0.2715733912240125
5,600,-27.604608331516502,1.7253087,2.0083826,35210128.08321973,0.941,-0.2741903312635971
6,700,-27.273005734954726,1.5431868,2.1804075,35373029.24181257,0.9426,-0.27089359051854395
7,800,-27.220259472267788,1.4343581,2.3341749,35392170.1120176,0.9448133333333334,-0.2703429096812971
8,900,-26.745926884578633,1.318349,2.4672441,35459458.10840968,0.9450266666666668,-0.26557666882240943
9,1000,-26.412792583642627,1.2008363,2.678217,35559480.54904776,0.9447866666666667,-0.26224258440855563
10,1100,-26.271555032083572,1.1364957,2.7805808,35711908.42363485,0.9490733333333335,-0.26087655366900525
11,1200,-26.00306696248384,1.0457524,2.941224,35770645.75130119,0.9469733333333331,-0.2582926336545041
12,1300,-25.369723531254092,0.98581576,3.0809295,35930776.102479964,0.9487933333333333,-0.25188631826323343
13,1400,-25.029732151343904,0.92864156,3.2522497,36002922.178177066,0.9439399999999999,-0.24868074246034405
14,1500,-24.76117104516107,0.9081503,3.396299,36105638.20944831,0.9501933333333332,-0.24609318222526727
15,1600,-24.410624628145662,0.807566,3.5576499,36160206.091067486,0.9499999999999997,-0.2424118136826687
16,1700,-24.256385143678752,0.7289668,3.686683,36244488.902986616,0.9502200000000002,-0.2410579806463159
17,1800,-24.08659003894626,0.71886915,3.812571,36337209.11027278,0.9505733333333334,-0.23932108434214341
18,1900,-23.94591694504898,0.7503081,3.9635782,36370841.31104623,0.95292,-0.23813923679227497
19,2000,-23.616997262751745,0.7415172,4.203907,36478454.44954823,0.9525933333333333,-0.23481797539665655
20,2100,-23.083034020012285,0.73609334,4.2978606,36550395.427334644,0.9529799999999999,-0.22944755360580243
21,2200,-23.053297601319894,0.7221975,4.4910994,36613242.50929205,0.9540399999999999,-0.22907476469555194
22,2300,-22.57769088836652,0.7370545,4.612845,36728217.615065806,0.9545533333333333,-0.22445697622545027
23,2400,-22.61756273772854,0.7207732,4.857124,36845562.5721341,0.9575199999999999,-0.22453120017218858
24,2500,-22.4532740880776,0.73319083,5.014586,36902317.667280585,0.95728,-0.22312021148454494
25,2600,-22.47556264805427,0.7543834,5.0646033,36809221.07829241,0.9572999999999999,-0.22335398370539072
26,2700,-22.150404584273875,0.718607,5.2956567,36985157.36691083,0.9586533333333335,-0.22000812216342855
27,2800,-22.1409434736187,0.7366881,5.4112945,36935127.659482844,0.9600799999999999,-0.21998527406265264
28,2900,-22.061327527765922,0.74465805,5.521092,36956208.63690715,0.9594599999999999,-0.21927785477089679
29,3000,-21.733222402645797,0.7568108,5.7385435,37114091.34858478,0.9587133333333333,-0.215914601892091
30,3100,-21.447595538415634,0.7333311,5.8598475,37156278.41432635,0.9614600000000001,-0.2131337762539903
31,3200,-21.516570357025202,0.7785996,6.088434,37131972.55434673,0.9625666666666667,-0.21394005181619535
32,3300,-21.39741828816494,0.73549896,6.1792064,37203217.91410952,0.9622466666666666,-0.21260396707455004
33,3400,-21.40726686403089,0.72715354,6.291189,37150526.079051696,0.9594066666666666,-0.21272759440765185
34,3500,-21.4886285026253,0.7427588,6.3787913,37190384.727443546,0.9600066666666666,-0.21349721303832211
35,3600,-21.079151528181594,0.78922385,6.6505404,37230879.70055858,0.9617266666666665,-0.20942758486832724
36,3700,-21.053748318760032,0.8140554,6.7651024,37324290.54302321,0.9619066666666665,-0.20923012131660648
37,3800,-20.876645781699168,0.6973518,7.023433,37336421.40633393,0.9633999999999998,-0.20752823527571393
38,3900,-20.719482799753436,0.89785445,7.150453,37400996.652085885,0.9631866666666667,-0.20585603915848782
39,4000,-20.994030856760762,0.86274385,7.282218,37405885.549361214,0.9631333333333335,-0.20867244152299355
40,4100,-20.635067549845562,0.86384636,7.3444014,37416242.7175901,0.963673333333333,-0.20507569058372146
41,4200,-20.743179999643107,0.80185187,7.545059,37376085.08323912,0.9599866666666664,-0.20625014599764813
42,4300,-20.587602641219842,0.8918483,7.64592,37420775.40226826,0.9646066666666665,-0.20455243203643278
43,4400,-20.45719520672082,1.0006242,7.7624865,37529540.3690702,0.9623399999999999,-0.20334001491954098
44,4500,-20.914952560492274,0.75211257,7.9335003,37383650.167664364,0.9623933333333333,-0.20778559519143397
45,4600,-20.14108936209201,0.80150384,8.151465,37511234.88255065,0.96504,-0.20014752950520015
46,4700,-20.395994073094904,0.8454788,8.30636,37458413.58246946,0.9641333333333331,-0.2025457271685759
47,4800,-20.692660289065486,1.0176758,8.4618025,37369293.95724451,0.9622399999999999,-0.2056786756781016
48,4900,-20.542382796046038,0.81735194,8.434107,37411277.79029908,0.96222,-0.20412903687668774
49,5000,-20.621579855892954,0.7848927,8.527247,37401673.02258781,0.9605666666666665,-0.20491012085407784
50,5100,-20.574438728597205,1.0375843,9.041217,37412570.85120918,0.9616933333333332,-0.20445588159580988
51,5200,-20.581469276032117,0.81273484,8.94706,37447818.58480267,0.9603466666666667,-0.2046158667468487
52,5300,-20.639734500505522,1.0939068,9.125164,37299022.01561638,0.9582733333333332,-0.20513087155252366
53,5400,-20.604044512352836,1.1610279,9.409964,37352138.25706063,0.9605533333333333,-0.20479593718864003
54,5500,-20.495457454683724,0.9970188,9.528617,37411089.14573276,0.9605533333333331,-0.20353002999247302
55,5600,-20.41227410645904,1.0921562,9.5565605,37415390.54993191,0.9592666666666665,-0.20279023761915438
56,5700,-20.211953690054997,0.98629194,9.670957,37505258.44880955,0.9599066666666666,-0.20074932109345076
57,5800,-20.238430631974577,1.0823327,9.889618,37506069.95357312,0.9608999999999999,-0.201215223108184
58,5900,-20.364326326627147,1.1052709,9.709714,37462416.80941894,0.9615733333333332,-0.20233590139527774
59,6000,-20.4010258262914,0.94934213,10.222293,37403982.67355556,0.9589199999999998,-0.20275486370694656
60,6100,-20.375879508670796,1.0270009,10.320039,37419936.56650522,0.9620799999999998,-0.2025781347851867
61,6200,-20.22714270911387,1.1201162,10.4156065,37450511.89697031,0.9605399999999998,-0.20095777982653437
62,6300,-20.238662550801596,1.2319071,10.471262,37401226.739152804,0.9572866666666666,-0.20113583217951705
63,6400,-20.670319677207917,1.1834903,10.5603,37345465.914922476,0.9577199999999999,-0.20533298096497987
64,6500,-20.455533338386143,1.3943073,10.680713,37349201.73954852,0.9601666666666666,-0.2033724464898942
65,6600,-20.440269189535684,1.0834183,11.116389,37381664.08296973,0.9586933333333333,-0.20309064120333234
